Bairro,Gariba2016,J.deLiz2016,J.Thome2016,total,Gariba2016,J.deLiz2016,J.Thome2016
Albertina,214,46,273,533,"40,15","8,63","51,22"
Alto_Itoupava,45,10,62,117,"38,46","8,55","52,99"
Barra_d_Itoupava,175,50,277,502,"34,86","9,96","55,18"
Barra_Taboao,633,265,803,1701,"37,21","15,58","47,21"
Barra_Trombudo,609,185,766,1560,"39,04","11,86","49,10"
Barragem,593,253,824,1670,"35,51","15,15","49,34"
BelaAlianca,687,233,932,1852,"37,10","12,58","50,32"
Boa Vista,1010,343,987,2340,"43,16","14,66","42,18"
Budag,752,258,811,1821,"41,30","14,17","44,54"
Canta Galo,1103,349,1276,2728,"40,43","12,79","46,77"
Centro,2579,670,2944,6193,"41,64","10,82","47,54"
Fundo_Canoas,711,232,922,1865,"38,12","12,44","49,44"
Jardim_Alexander,184,58,197,439,"41,91","13,21","44,87"
Laranjeiras,1296,315,1281,2892,"44,81","10,89","44,29"
Navegantes,61,34,177,272,"22,43","12,50","65,07"
Progresso,749,214,1079,2042,"36,68","10,48","52,84"
Rainha,109,38,163,310,"35,16","12,26","52,58"
Santa_Rita,271,195,432,898,"30,18","21,71","48,11"
Santana,940,275,1083,2298,"40,91","11,97","47,13"
Serra_Taboao,81,7,53,141,"57,45","4,96","37,59"
Sumare,782,243,905,1930,"40,52","12,59","46,89"
Taboao,332,73,292,697,"47,63","10,47","41,89"
Valada_Itoupava,115,35,247,397,"28,97","8,82","62,22"
Valada_Spaulo,369,79,397,845,"43,67","9,35","46,98"
