Bairro,C.Hoffman,C.Tonet,J.Pasqualini,J.deLiz,J.Thome,total_sem_branc-_nulo,C.Hoffman,C.Tonet,J.Pasqualini,J.deLiz,J.Thome
Albertina,6,69,117,54,282,528,"1,14","13,07","22,16","10,23","53,41"
Alto_Itoupava,0,15,36,21,50,122,"0,00","12,30","29,51","17,21","40,98"
Barra_d_Itoupava,6,47,119,56,205,433,"1,39","10,85","27,48","12,93","47,34"
Barra_Taboao,42,208,469,280,632,1631,"2,58","12,75","28,76","17,17","38,75"
Barra_Trombudo,36,156,263,209,712,1376,"2,62","11,34","19,11","15,19","51,74"
Barragem,45,201,346,323,568,1483,"3,03","13,55","23,33","21,78","38,30"
BelaAlianca,19,134,400,264,876,1693,"1,12","7,91","23,63","15,59","51,74"
Boa Vista,33,329,572,467,649,2050,"1,61","16,05","27,90","22,78","31,66"
Budag,43,244,518,303,596,1704,"2,52","14,32","30,40","17,78","34,98"
Canta Galo,48,297,828,467,822,2462,"1,95","12,06","33,63","18,97","33,39"
Centro,126,869,2024,862,1887,5768,"2,18","15,07","35,09","14,94","32,71"
Fundo_Canoas,44,251,517,308,648,1768,"2,49","14,20","29,24","17,42","36,65"
Jardim_Alexander,12,56,101,81,141,391,"3,07","14,32","25,83","20,72","36,06"
Laranjeiras,68,364,753,439,999,2623,"2,59","13,88","28,71","16,74","38,09"
Navegantes,9,17,57,51,129,263,"3,42","6,46","21,67","19,39","49,05"
Progresso,49,221,531,246,670,1717,"2,85","12,87","30,93","14,33","39,02"
Rainha,2,48,104,75,148,377,"0,53","12,73","27,59","19,89","39,26"
Santa_Rita,5,119,141,167,304,736,"0,68","16,17","19,16","22,69","41,30"
Santana,53,237,712,288,685,1975,"2,68","12,00","36,05","14,58","34,68"
Serra_Taboao,3,23,34,24,60,144,"2,08","15,97","23,61","16,67","41,67"
Sumare,56,294,608,299,634,1891,"2,96","15,55","32,15","15,81","33,53"
Taboao,22,73,258,149,302,804,"2,74","9,08","32,09","18,53","37,56"
Valada_Itoupava,8,39,124,52,222,445,"1,80","8,76","27,87","11,69","49,89"
Valada_Spaulo,15,53,171,114,427,780,"1,92","6,79","21,92","14,62","54,74"
